City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san patricio,28.017,-97.5169,276.95,87,100,4.55,US,1675266309
1,les cayes,18.2,-73.75,302.08,49,5,2.7,HT,1675266311
2,ayan,56.45,138.1667,249.41,72,94,4.75,RU,1675266314
3,rikitea,-23.1203,-134.9692,298.99,77,4,7.49,PF,1675266315
4,kapaa,22.0752,-159.319,292.65,91,0,3.6,US,1675266106
5,vila,42.0304,-8.1588,282.98,52,7,1.52,PT,1675266317
6,cidreira,-30.1811,-50.2056,300.86,68,1,4.84,BR,1675266318
7,new norfolk,-42.7826,147.0587,283.55,60,91,1.34,AU,1675266319
8,punta arenas,-53.15,-70.9167,287.21,58,75,11.32,CL,1675266314
9,mataura,-46.1927,168.8643,289.78,100,100,1.3,NZ,1675266321
10,machalpur,24.1333,76.3,288.21,38,1,2.8,IN,1675266322
11,miroslovesti,47.15,26.65,272.22,81,81,2.38,RO,1675266322
12,datong,40.0936,113.2914,264.78,25,100,0.77,CN,1675266323
13,hamilton,39.1834,-84.5333,269.93,65,0,2.57,US,1675266324
14,narsaq,60.9167,-46.05,269.27,73,100,2.92,GL,1675266324
15,brae,60.3964,-1.353,278.31,66,96,10.2,GB,1675266325
16,shelburne,44.0787,-80.2041,265.4,83,81,7.22,CA,1675266325
17,busselton,-33.65,115.3333,288.64,61,0,7.46,AU,1675266105
18,pangnirtung,66.1451,-65.7125,244.15,52,75,1.03,CA,1675266326
19,esperance,-33.8667,121.9,288.55,67,40,3.75,AU,1675266327
20,atuona,-9.8,-139.0333,298.79,75,14,8.14,PF,1675266327
21,tiksi,71.6872,128.8694,249.86,96,99,4.89,RU,1675266070
22,srednekolymsk,67.45,153.6833,244.28,100,95,0.53,RU,1675266268
23,upernavik,72.7868,-56.1549,246.81,99,74,4.64,GL,1675266328
24,qaanaaq,77.484,-69.3632,250.03,63,89,2.91,GL,1675266329
25,melsungen,51.1333,9.55,278.83,81,75,7.72,DE,1675266329
26,sibolga,1.7427,98.7792,298.94,84,100,1.24,ID,1675266290
27,nanortalik,60.1432,-45.2371,267.29,91,100,2.79,GL,1675266330
28,chokurdakh,70.6333,147.9167,240.93,100,74,1.02,RU,1675266330
29,havoysund,70.9963,24.6622,274.28,68,100,8.4,NO,1675266101
30,hithadhoo,-0.6,73.0833,300.78,71,70,5.71,MV,1675266331
31,san cristobal,7.7669,-72.225,294.25,38,21,1.0,VE,1675266332
32,kashi,39.4547,75.9797,269.71,74,40,2.0,CN,1675266332
